order_id,customer_id,product_id,date_order,product_price,quantity
order_364,customer_71,product_1,2023-02-27,57.095607634960494,1
order_173,customer_47,product_47,2023-06-13,53.22203468824385,1
order_24,customer_61,product_171,2023-11-28,45.330923279827275,1
order_132,customer_42,product_272,2023-05-18,64.48335423978153,1
order_217,customer_15,product_208,2023-11-14,37.405327330208465,2
order_366,customer_72,product_19,2023-09-04,57.90480695333209,1
order_76,customer_35,product_276,2023-06-28,61.85400664318269,1
order_277,customer_193,product_95,2023-08-16,30.952264942652036,1
order_500,customer_121,product_212,2023-03-30,75.4307175309117,1
order_236,customer_42,product_2,2023-10-18,70.88083347874206,1
order_406,customer_141,product_25,2023-01-14,65.16599643313418,2
order_37,customer_122,product_268,2023-06-06,58.863241268729,2
order_108,customer_12,product_56,2023-11-25,54.17810389685628,2
order_207,customer_156,product_240,2023-02-21,53.529385801840476,1
order_385,customer_162,product_189,2023-05-06,55.009004353348224,1
order_483,customer_46,product_126,2023-12-05,47.40477638637476,3
order_288,customer_152,product_4,2023-08-07,41.65616373895345,1
order_281,customer_130,product_276,2023-03-17,31.27991157272646,1
order_461,customer_121,product_18,2023-10-31,62.95266007295308,1
order_138,customer_163,product_134,2023-07-24,44.44914856869324,2
order_482,customer_43,product_101,2023-10-18,62.97267718562346,1
order_300,customer_199,product_176,2023-01-02,74.91256394848813,3
order_190,customer_5,product_3,2023-10-08,54.78657604281105,2
order_3,customer_67,product_102,2023-12-22,54.82093444497283,1
order_139,customer_194,product_206,2023-01-30,48.17423071665409,1
order_273,customer_41,product_40,2023-06-07,52.1609684619334,1
order_321,customer_38,product_239,2023-02-16,53.9591403699077,3
order_135,customer_143,product_107,2023-10-10,33.710721128099536,1
order_268,customer_159,product_43,2023-04-22,47.98079308824398,1
order_348,customer_138,product_127,2023-02-25,49.96315225198279,1
order_352,customer_145,product_43,2023-09-01,41.99923736246203,1
order_84,customer_189,product_29,2023-12-25,53.11651394968324,1
order_368,customer_161,product_133,2023-09-03,28.106025979047157,1
order_117,customer_5,product_11,2023-04-25,50.11982462808603,2
order_298,customer_21,product_211,2023-06-15,56.11544344805218,1
order_207,customer_129,product_264,2023-03-02,44.169859841070604,5
order_52,customer_79,product_138,2023-09-01,41.013624560243244,1
order_441,customer_134,product_158,2023-04-17,26.12100540345255,1
order_50,customer_22,product_151,2023-09-18,58.75544827202733,2
order_492,customer_171,product_54,2023-02-07,60.69920051319093,1
order_466,customer_108,product_29,2023-01-29,67.35248267505014,1
order_128,customer_108,product_179,2023-04-19,53.51027587171557,1
order_161,customer_92,product_103,2023-11-30,61.86442629913404,1
order_283,customer_42,product_153,2023-12-01,58.00848070751411,1
order_105,customer_144,product_34,2023-01-24,47.8878383388009,1
order_394,customer_86,product_128,2023-03-26,54.88273679215343,1
order_477,customer_172,product_252,2023-08-18,63.43821828799415,1
order_69,customer_120,product_143,2023-03-23,25.143745214000816,1
